wilayah;kecamatan;kelurahan;nama_halte;lokasi
Jakarta Timur;Cakung;Cakung Barat;Cakung United Tractors;Jalan Raya Bekasi
Jakarta Timur;Jatinegara;Cawang;BNN;Jalan Letnan Jenderal MT Haryono
Jakarta Timur;Kramat Jati;Cawang;Ciliwung Arah Barat;Jalan Letnan Jenderal MT Haryono
Jakarta Timur;Pulo Gadung;Cempaka Putih;Kayu Putih Rawasari;Jalan Ahmad Yani
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Pasar Cempaka Putih;Jalan Letnan Jenderal Suprapto
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Pasar Genjing;Jalan Pramuka
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Simpang Pramuka;Jalan Pramuka
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Pramuka Sari;Jalan Pramuka
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Utan Kayu;Jalan Pramuka
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Rawa Selatan;Jalan Letnan Jenderal Suprapto
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Sumur Batu;Jalan Letnan Jenderal Suprapto
Jakarta Timur;Pulo Gadung;Cempaka Putih;Cempaka Putih;Jalan Ahmad Yani
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Cempaka Baru;Jalan Letnan Jenderal Suprapto
Jakarta Pusat;Cempaka Putih;Cempaka Putih;Cempaka Mas;Jalan Letnan Jenderal Suprapto
Jakarta Barat;Cengkareng;Cengkareng;Jembatan Baru;Jalan Daan Mogot
Jakarta Barat;Cengkareng;Cengkareng;Jembatan Gantung;Jalan Daan Mogot
Jakarta Barat;Cengkareng;Cengkareng;Sumur Bor;Jalan Daan Mogot
Jakarta Barat;Cengkareng;Cengkareng;Taman Kota;Jalan Daan Mogot
Jakarta Barat;Cengkareng;Cengkareng;Rawa Buaya;Jalan Daan Mogot
Jakarta Barat;Cengkareng;Cengkareng;Pulo Nangka;Jalan Daan Mogot
Jakarta Selatan;Cilandak;Cilandak;Lebak Bulus;Jalan Raya Pasar Jumat
Jakarta Timur;Kramat Jati;Cililitan;Cililitan;Jalan Mayor Jenderal Sutoyo
Jakarta Timur;Kramat Jati;Cililitan;PGC;Transjakarta Busway Koridor 10
Jakarta Timur;Kramat Jati;Cililitan;Cawang Cililitan;Jalan Mayor Jenderal Sutoyo
Jakarta Timur;Duren Sawit;Duren Sawit;Kampung Sumur;Jalan I Gusti Ngurah Rai
Jakarta Timur;Duren Sawit;Duren Sawit;Flyover Pondok Kopi;Jalan I Gusti Ngurah Rai
Jakarta Timur;Duren Sawit;Duren Sawit;Stasiun Klender;Jalan I Gusti Ngurah Rai
